Year,location,latitude,longitude,num_of_people
2005,SouthAfrica,-26.195246,28.034088,1255
2010,SouthAfrica,-26.195246,28.034088,2173
2015,SouthAfrica,-26.195246,28.034088,3955
2017,SouthAfrica,-26.195246,28.034088,4182
1990,Spain,40.416775,-3.703790,248
1995,Spain,40.416775,-3.703790,387
2000,Spain,40.416775,-3.703790,693
2005,Spain,40.416775,-3.703790,4383
2010,Spain,40.416775,-3.703790,10533
2015,Spain,40.416775,-3.703790,9836
2017,Spain,40.416775,-3.703790,9929
1990,SriLanka,6.927079,79.861244,7
1995,SriLanka,6.927079,79.861244,85
2000,SriLanka,6.927079,79.861244,164
2005,SriLanka,6.927079,79.861244,326
2010,SriLanka,6.927079,79.861244,658
2015,SriLanka,6.927079,79.861244,669
2017,SriLanka,6.927079,79.861244,674
1990,Sweden,59.334591,18.06324,2307
1995,Sweden,59.334591,18.06324,2738
2000,Sweden,59.334591,18.06324,2937
2005,Sweden,59.334591,18.06324,3924
2010,Sweden,59.334591,18.06324,5520
2015,Sweden,59.334591,18.06324,7193
2017,Sweden,59.334591,18.06324,7448
1990,Switzerland,46.519962,6.633597,730
1995,Switzerland,46.519962,6.633597,1055
2000,Switzerland,46.519962,6.633597,1385
2005,Switzerland,46.519962,6.633597,1576
2010,Switzerland,46.519962,6.633597,1799
2015,Switzerland,46.519962,6.633597,2114
2017,Switzerland,46.519962,6.633597,2192
1990,Thailand,13.736717,100.523186,725
1995,Thailand,13.736717,100.523186,1211
2000,Thailand,13.736717,100.523186,1949
2005,Thailand,13.736717,100.523186,1567
2010,Thailand,13.736717,100.523186,1299
2015,Thailand,13.736717,100.523186,1404
2017,Thailand,13.736717,100.523186,1445
1990,Timor-Leste,-8.556856,125.56031,103
1995,Timor-Leste,-8.556856,125.56031,112
2000,Timor-Leste,-8.556856,125.56031,122
2005,Timor-Leste,-8.556856,125.56031,130
2010,Timor-Leste,-8.556856,125.56031,133
2015,Timor-Leste,-8.556856,125.56031,135
2017,Timor-Leste,-8.556856,125.56031,138
1990,Turkey,41.015137,28.97953,79
1995,Turkey,41.015137,28.97953,192
2000,Turkey,41.015137,28.97953,307
2005,Turkey,41.015137,28.97953,316
2010,Turkey,41.015137,28.97953,325
2015,Turkey,41.015137,28.97953,329
2017,Turkey,41.015137,28.97953,388
1990,Uganda,0.347596,32.58252,50
1995,Uganda,0.347596,32.58252,49
2000,Uganda,0.347596,32.58252,151
2005,Uganda,0.347596,32.58252,150
2010,Uganda,0.347596,32.58252,149
2015,Uganda,0.347596,32.58252,148
2017,Uganda,0.347596,32.58252,209
1990,UnitedArabEmirates,24.466667,54.366669,154869
1995,UnitedArabEmirates,24.466667,54.366669,219911
2000,UnitedArabEmirates,24.466667,54.366669,297610
2005,UnitedArabEmirates,24.466667,54.366669,408976
2010,UnitedArabEmirates,24.466667,54.366669,919365
2015,UnitedArabEmirates,24.466667,54.366669,1004623
2017,UnitedArabEmirates,24.466667,54.366669,1044505
1990,UnitedKingdom,55.87440472,-4.250707236,102380
1995,UnitedKingdom,55.87440472,-4.250707236,124761
2000,UnitedKingdom,55.87440472,-4.250707236,149241
2005,UnitedKingdom,55.87440472,-4.250707236,170124
2010,UnitedKingdom,55.87440472,-4.250707236,204858
2015,UnitedKingdom,55.87440472,-4.250707236,217230
2017,UnitedKingdom,55.87440472,-4.250707236,228353
1990,UnitedStatesofAmerica,41.850033,-87.6500523,21414
1995,UnitedStatesofAmerica,41.850033,-87.6500523,59134
2000,UnitedStatesofAmerica,41.850033,-87.6500523,97713
2005,UnitedStatesofAmerica,41.850033,-87.6500523,126308
2010,UnitedStatesofAmerica,41.850033,-87.6500523,159527
2015,UnitedStatesofAmerica,41.850033,-87.6500523,211990
2017,UnitedStatesofAmerica,41.850033,-87.6500523,219021
1990,Vietnam,21.028511,105.804817,225
1995,Vietnam,21.028511,105.804817,523
2000,Vietnam,21.028511,105.804817,1244
2005,Vietnam,21.028511,105.804817,4129
2010,Vietnam,21.028511,105.804817,6540
2015,Vietnam,21.028511,105.804817,7895
2017,Vietnam,21.028511,105.804817,8254
